# hour, brightness, colorTemp
0.0, 1.0000, 2000.0000
0.5, 1.0000, 2000.0000
1.0, 1.0000, 2000.0000
1.5, 1.0000, 2000.0000
2.0, 1.0000, 2000.0000
2.5, 1.0000, 2000.0000
3.0, 1.0000, 2000.0000
3.5, 1.0000, 2000.0000
4.0, 1.0000, 2000.0000
4.5, 1.0000, 2000.0000
5.0, 1.0000, 2000.0000
5.5, 1.0000, 2000.0000
6.0, 30.3333, 3037.0370
6.5, 70.6667, 4462.9630
7.0, 100.0000, 5500.0000
7.5, 100.0000, 5500.0000
8.0, 100.0000, 5500.0000
8.5, 100.0000, 5500.0000
9.0, 100.0000, 5500.0000
9.5, 100.0000, 5500.0000
10.0, 100.0000, 5500.0000
10.5, 100.0000, 5500.0000
11.0, 100.0000, 5500.0000
11.5, 100.0000, 5500.0000
12.0, 100.0000, 5500.0000
12.5, 100.0000, 5500.0000
13.0, 100.0000, 5500.0000
13.5, 100.0000, 5500.0000
14.0, 100.0000, 5500.0000
14.5, 100.0000, 5500.0000
15.0, 100.0000, 5500.0000
15.5, 100.0000, 5500.0000
16.0, 100.0000, 5500.0000
16.5, 100.0000, 5500.0000
17.0, 100.0000, 5500.0000
17.5, 100.0000, 5500.0000
18.0, 100.0000, 5500.0000
18.5, 96.9978, 5393.8621
19.0, 88.8717, 5106.5753
19.5, 78.4939, 4739.6851
20.0, 66.5574, 4317.6848
20.5, 53.7548, 3865.0678
21.0, 40.7790, 3406.3275
21.5, 28.3228, 2965.9571
22.0, 17.0790, 2568.4502
22.5, 7.7405, 2238.3000
23.0, 1.0000, 2000.0000
23.5, 1.0000, 2000.0000
